category_title       ,price,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,characteristic_6,characteristic_7,characteristic_8,characteristic_9,characteristic_10,flag
duis faucibus        ,20   ,$83.53M         ,$542.67M        ,n/a             ,$5.21B          ,$34.1M          ,$32.03M         ,$3.27B          ,$442.96M        ,$8.51B          ,n/a              ,false
maecenas leo         ,52   ,n/a             ,$1.52B          ,n/a             ,$2.09B          ,$1.59B          ,$98.95M         ,$2.7B           ,$878.56M        ,$3.41B          ,$1.97B           ,true
ut                   ,43   ,$3.18B          ,n/a             ,n/a             ,$1.89B          ,$16.61M         ,$133.53M        ,$2.62B          ,$374.11M        ,$1.15B          ,$599.24M         ,true
sapien arcu          ,88   ,$2.59B          ,$808.23M        ,$123.2M         ,$7.04B          ,$349.22M        ,$194.72M        ,$85.01M         ,$1.03B          ,$55.73B         ,$164.19M         ,false
pellentesque ultrices,33   ,$173.77M        ,$26.56M         ,$42.28M         ,$277.68M        ,$661.71M        ,$21.61B         ,$1.12B          ,$72.37M         ,$13.87M         ,$559.9M          ,false
porttitor lorem      ,14   ,$451.07M        ,$51.34B         ,$377.45M        ,$176.92M        ,$1.79B          ,$1.44M          ,n/a             ,$136.12M        ,$96.24B         ,$63.93M          ,true
consequat            ,13   ,$499.8M         ,$186.35M        ,$888.39M        ,n/a             ,$445M           ,$198.29M        ,$31.68B         ,$12.97B         ,$6.08M          ,n/a              ,true
nascetur ridiculus   ,62   ,n/a             ,$424.11M        ,$618.24M        ,$3.06B          ,$2.19B          ,$251.25M        ,$3.04B          ,$93.98M         ,$1.76B          ,                 ,true
rutrum ac            ,64   ,$24.88B         ,$3.32B          ,$251.61M        ,n/a             ,$2.25B          ,n/a             ,$1.53B          ,$75.46M         ,$175.03B        ,$410.12M         ,false
nullam sit           ,94   ,$9.48B          ,$1.44B          ,n/a             ,n/a             ,$87.43M         ,$3.41B          ,$520.56M        ,$1.45B          ,$719.35M        ,$888.39M         ,true
volutpat             ,52   ,$39.27B         ,$375.08M        ,$103.28M        ,$2.64B          ,$14.73M         ,$3.65B          ,$167.24M        ,$45.09M         ,$3.73B          ,$372.55M         ,true
nullam               ,52   ,$828.75M        ,$33.53B         ,$197.05M        ,n/a             ,n/a             ,                ,$2.41B          ,$61.17M         ,$358.78M        ,$2.73B           ,true
vel augue            ,67   ,$122.88M        ,n/a             ,$907.09M        ,$18.77M         ,$1.02B          ,$669.59M        ,n/a             ,$10.69M         ,$147.96M        ,                 ,true
cubilia curae        ,6    ,$2.35B          ,$12.15B         ,$320.21M        ,n/a             ,$59.69M         ,n/a             ,$32.45M         ,$261.9M         ,$2.71B          ,$3.11B           ,true
quisque              ,13   ,n/a             ,$126.72M        ,$1.74B          ,$42.31M         ,$1.26B          ,$626.7M         ,$931.89M        ,$3.04B          ,$30.7B          ,$1.72B           ,true
id massa             ,86   ,$1.01B          ,$240.71M        ,$803.3M         ,$462.86M        ,$603.44M        ,$1.56B          ,$10.97B         ,$725.05M        ,n/a             ,$833.52M         ,true
mattis               ,22   ,$1.59B          ,$108.87B        ,$3.18B          ,n/a             ,$296.28M        ,$197.71M        ,$4.82B          ,$2.09B          ,$92.34B         ,$14.5B           ,true
libero               ,23   ,$3.2B           ,n/a             ,$253.65M        ,$162.87M        ,$216.91M        ,$1.63B          ,$5.07B          ,$6.68M          ,$150.94M        ,$7.89B           ,false
libero               ,85   ,$61.97M         ,$408.67M        ,$120.61M        ,$26.27B         ,$219.23M        ,n/a             ,$2.75B          ,$347.55M        ,$3.47B          ,                 ,false
nunc                 ,43   ,$8.74B          ,$544.37M        ,$123.38M        ,$425.18M        ,$369.08M        ,$2.73B          ,$483.16M        ,$1.54B          ,$1.06B          ,                 ,false
maecenas             ,78   ,$374.4M         ,$11.3B          ,$3.65B          ,$237.5M         ,$9.66B          ,$46.06M         ,$21.71B         ,$506.02M        ,$5.34M          ,$431.69M         ,true
ut odio              ,85   ,$71.5B          ,$68.03M         ,$130.34M        ,$411.13M        ,$836.36M        ,n/a             ,$186.89M        ,$885.83M        ,$287.82M        ,n/a              ,false
tristique            ,77   ,$54.66M         ,$74.69M         ,n/a             ,$878.56M        ,$192.68M        ,$7.89B          ,$9.15M          ,$3.91B          ,$5.67B          ,$4.47B           ,false
eu                   ,96   ,$86.05M         ,$523.31M        ,$2.8B           ,n/a             ,$30.09B         ,n/a             ,$211.4M         ,$175.04M        ,$172.77M        ,$414.14M         ,true
at                   ,48   ,$311.8M         ,$3.26B          ,$2.09B          ,$4.82B          ,n/a             ,$592.24M        ,$1.87B          ,$2.24B          ,$803.43M        ,n/a              ,false
mi                   ,61   ,$8.17M          ,$115.2M         ,$420.7M         ,$4.23B          ,$1.75B          ,n/a             ,$1.5B           ,n/a             ,$233.83M        ,$1.76B           ,true
in                   ,95   ,n/a             ,$6.3B           ,n/a             ,$188.64M        ,n/a             ,$3.61B          ,$4.87B          ,n/a             ,$2.76B          ,                 ,true
quisque              ,36   ,$5.5B           ,n/a             ,$587.52M        ,$133.53M        ,$113.85M        ,$6.74M          ,$29.03B         ,$92.34B         ,$2.41B          ,$45.09M          ,true
integer              ,67   ,$6.64B          ,$21.95B         ,$42.87B         ,$2.05B          ,$3.84B          ,                ,$283.57M        ,$445.1M         ,$92.99M         ,                 ,true
adipiscing           ,32   ,n/a             ,$403.79M        ,$3.09B          ,$6.19B          ,$1.16B          ,$488.7M         ,$100.04M        ,$22.58M         ,$6.87B          ,$3.6B            ,false
sapien sapien        ,61   ,$152.04M        ,$1.97B          ,$164.15M        ,$7.43B          ,n/a             ,                ,$1.66B          ,$4.61B          ,$28.82M         ,$21.03M          ,true
lorem integer        ,70   ,n/a             ,$12.15B         ,$2B             ,$22.56B         ,$445.1M         ,$298.59M        ,$8.89B          ,$2.52B          ,$113.85M        ,                 ,false
nibh                 ,80   ,$1.58B          ,$21.6M          ,$164.43M        ,$1.21B          ,$5.47B          ,$5.65B          ,$38.27M         ,$261.63M        ,$83.04M         ,n/a              ,true
eu tincidunt         ,73   ,$311.58M        ,$239.77M        ,$400.41M        ,$8.44B          ,$1.11B          ,$190.99M        ,$27.02B         ,$2.65B          ,$2.35B          ,$34.88M          ,false
semper sapien        ,5    ,$3.06B          ,n/a             ,$9.01M          ,$15.51B         ,$220.31M        ,$40.47B         ,$84.51M         ,$3.2B           ,n/a             ,$194.79M         ,true
facilisi cras        ,3    ,$1.9B           ,$22.46M         ,$4.69B          ,$3.31B          ,$6.35B          ,$614.08M        ,$1.02B          ,$1.24B          ,$2.72B          ,$364.09M         ,false
sapien non           ,12   ,$1.14B          ,$5.29B          ,$94.05M         ,$40.61B         ,$20.32B         ,$29.03B         ,$1.83B          ,$88.11M         ,$741.61M        ,                 ,false
diam nam             ,1    ,$6.89M          ,$3.44B          ,$1.91B          ,$1.19B          ,n/a             ,$2.98B          ,$654.76M        ,$2.5B           ,$198.85M        ,n/a              ,false
id                   ,84   ,$32.91M         ,$437.27M        ,$82.39M         ,$447.05M        ,$2.05B          ,$9.9M           ,n/a             ,$50.34B         ,$261.62M        ,n/a              ,true
nunc                 ,57   ,$6.35B          ,$2.11B          ,$107.22M        ,$20.04B         ,$6.96B          ,n/a             ,$9.38B          ,$315.63M        ,$727.12M        ,$1.4B            ,true
libero rutrum        ,46   ,$23.69B         ,$10.83M         ,$1.77B          ,$1.64B          ,$316.23M        ,$5.04B          ,$2.52B          ,$126.15M        ,$1.61B          ,$427.4M          ,true
tempus vel           ,77   ,$154.26M        ,$153.37M        ,$905.69M        ,$30.84M         ,n/a             ,$895.77M        ,$1.51B          ,$283.59M        ,$1.19B          ,$13.28B          ,true
commodo placerat     ,65   ,$3.1B           ,$3.45B          ,n/a             ,$30.65M         ,$1.1B           ,n/a             ,n/a             ,$14.89M         ,$56.29M         ,$3.61B           ,false
adipiscing elit      ,1    ,$552.62M        ,$454M           ,$311.65M        ,$703.55M        ,$9.66B          ,$173.18M        ,$996.04M        ,$2.3B           ,$437.47M        ,$1.03B           ,true
suscipit a           ,48   ,$21.07M         ,n/a             ,$18.93B         ,$1.9B           ,$130.19M        ,$3.96B          ,$370.33M        ,$33.71M         ,$13.04M         ,                 ,true
ut                   ,77   ,$126.15M        ,$3.49M          ,$852.55M        ,$27.94B         ,$1.21B          ,$479.46M        ,$97.01M         ,$26.87M         ,n/a             ,$20.37B          ,false
faucibus orci        ,32   ,$4.17B          ,$2.05B          ,$736.77M        ,n/a             ,$242.27M        ,$956.82M        ,$14.16B         ,$38.96M         ,$1.46B          ,$527.66M         ,false
fermentum donec      ,54   ,$34.01M         ,n/a             ,n/a             ,$3.5B           ,n/a             ,$1.31B          ,$1.97B          ,$24.23M         ,$143.51M        ,$1.39B           ,true
accumsan             ,16   ,$544.39M        ,$1.63B          ,$22.77M         ,$17.51B         ,$15.82M         ,$88.09B         ,n/a             ,$16.29M         ,$3.4B           ,$645.41M         ,true
pretium quis         ,25   ,$1.15B          ,$1.36B          ,$4.86B          ,$864.5M         ,$13.85B         ,$836.2M         ,$3.91B          ,$664.71M        ,n/a             ,$953.28M         ,true
quis                 ,61   ,n/a             ,$151.17M        ,$3.2B           ,$8.63B          ,$1.58B          ,$4.27B          ,$115.54M        ,$129.69M        ,$38.16M         ,$1.77B           ,false
eu interdum          ,65   ,$9.61B          ,$419.06M        ,$252.29M        ,n/a             ,n/a             ,$123.47M        ,$78.45M         ,$50.52M         ,$1.64B          ,$3.22B           ,true
neque                ,9    ,$50.38B         ,$32.79M         ,n/a             ,$582.07M        ,$953.28M        ,n/a             ,$4.57B          ,$42.37M         ,$184.66M        ,$914.46M         ,true
erat fermentum       ,46   ,$18.85B         ,$1.8B           ,$983.39M        ,$54.36M         ,$299.64M        ,$1.68B          ,n/a             ,n/a             ,$4.66B          ,n/a              ,true
praesent lectus      ,13   ,$4.27B          ,$1.97B          ,$179.38M        ,$9.55B          ,$688.3M         ,$16.17B         ,$952M           ,$310.86M        ,$212.41M        ,n/a              ,true
sed augue            ,51   ,$519.54M        ,$324.08M        ,$14.95M         ,$55.73B         ,$1.9B           ,$114.59M        ,$446.33M        ,$35.54M         ,n/a             ,$1.56B           ,false
ridiculus            ,10   ,$29.24M         ,$39.27B         ,$237.5M         ,$747.14M        ,$32.02B         ,$8.73B          ,$84M            ,n/a             ,$8.62B          ,                 ,false
diam                 ,90   ,$982.38M        ,$8.15B          ,$396.21M        ,$562.75M        ,n/a             ,n/a             ,$296.68M        ,$89.69M         ,$459.34M        ,$13.53B          ,true
ac                   ,18   ,$1.49B          ,$2.32B          ,$605.93M        ,$80.33M         ,$776.55M        ,$4.9M           ,$101.59M        ,$14.16B         ,$187.49M        ,$3.78M           ,false
primis in            ,26   ,$7.97B          ,$12.47B         ,$196.97M        ,$3.89B          ,$346.48M        ,$13.74B         ,$6.47B          ,$3.27B          ,$48.91M         ,$1.68B           ,false
magna                ,37   ,$9.06B          ,$672.68M        ,$2.7B           ,$688.77M        ,$32.77B         ,                ,$106.3M         ,$326.22M        ,$66.2M          ,$287.82M         ,false
integer              ,53   ,$4.5B           ,n/a             ,$791.4M         ,n/a             ,$398.74M        ,n/a             ,$3.98B          ,$177.28M        ,$7.7M           ,$169.43M         ,false
feugiat non          ,47   ,$1.35B          ,$103.88M        ,$1.11B          ,$497.62M        ,$4.62B          ,n/a             ,n/a             ,$1.87B          ,$50.64M         ,$146.7M          ,true
laoreet ut           ,12   ,$1.72B          ,$778.92M        ,$362.41M        ,n/a             ,$44.38M         ,$996.04M        ,$3.33B          ,$114.75M        ,$72.33M         ,$445.12M         ,true
auctor gravida       ,69   ,n/a             ,$1.26B          ,$4.07B          ,$104.81M        ,$875.28M        ,$31.83M         ,$7.55B          ,$6.35B          ,$3.01B          ,$1.89B           ,false
eu                   ,15   ,n/a             ,$19.89B         ,$405.53M        ,$186.31M        ,$209.48M        ,$164.61M        ,$771.24M        ,$4.88B          ,$266.9M         ,$5.28B           ,true
eu                   ,83   ,$589.4M         ,$353.91M        ,$6.65B          ,$2.4M           ,$6.43B          ,$342.95M        ,$4.36M          ,$3.02B          ,$684.03M        ,$18.36B          ,true
fermentum justo      ,69   ,$5.04B          ,$1.8B           ,$12.06B         ,n/a             ,n/a             ,$1.76B          ,n/a             ,$2.88B          ,$2.11B          ,$2.41B           ,false
semper sapien        ,3    ,$1.59B          ,n/a             ,$704.65M        ,$332.64M        ,$14.44B         ,n/a             ,$27.17B         ,$19.65M         ,$352.17M        ,$18.64M          ,false
justo                ,3    ,$54.29M         ,$1.37B          ,$11.27M         ,$7.48B          ,n/a             ,$4.33B          ,$62.27B         ,$2.67B          ,$5.24B          ,$10.63B          ,true
rutrum               ,69   ,$947.69M        ,$1.82B          ,$3.07B          ,$788.23M        ,$2.64B          ,$1.95B          ,$95.29B         ,$532.37M        ,n/a             ,                 ,true
nunc                 ,30   ,n/a             ,$105.14M        ,$4.08B          ,$1.73B          ,$173.85M        ,$230.28M        ,n/a             ,$335.5M         ,$230.28M        ,n/a              ,true
nullam               ,21   ,n/a             ,$1.12B          ,$26.36B         ,$22.71B         ,n/a             ,$7.97B          ,$725.75M        ,$2.98B          ,$315.92M        ,$39.39M          ,true
lobortis             ,49   ,$18.8B          ,$15.36M         ,$2.09B          ,$475.98M        ,$1.75B          ,$7.71M          ,$48.88B         ,$1.17B          ,n/a             ,n/a              ,false
cursus vestibulum    ,66   ,$1.95B          ,$3.9B           ,$31.32M         ,$49.22M         ,n/a             ,$2.68B          ,$1.7B           ,$7.72B          ,n/a             ,$1.59B           ,false
quis justo           ,44   ,$568.21M        ,$63.95M         ,$828.17M        ,$691.58M        ,$20.83B         ,$95.78M         ,$129.69M        ,n/a             ,$12.62B         ,                 ,false
nulla neque          ,69   ,$12.93B         ,$161.21B        ,$198.66M        ,$3.33M          ,$228.02M        ,$87854.2        ,$259.46M        ,$395.71M        ,$254.48M        ,$159.72M         ,false
lobortis             ,27   ,$693.72M        ,$296.12M        ,$1.95B          ,$42.49M         ,$59.59M         ,$179.18M        ,$43.25M         ,$2.73B          ,$569.15M        ,n/a              ,true
nisl                 ,80   ,$684.03M        ,$2.85B          ,$1.17B          ,$3.9B           ,$23.54M         ,n/a             ,n/a             ,n/a             ,$356.57M        ,$6.13B           ,true
pede                 ,89   ,$615.32M        ,$277.95M        ,$92.42M         ,$1.01B          ,$2.76B          ,n/a             ,n/a             ,$1.19B          ,$539.98M        ,$151.17M         ,true
vestibulum           ,13   ,$71.34M         ,$7.21B          ,$1.91B          ,n/a             ,$6.55B          ,n/a             ,$3.89B          ,$1.78B          ,$1.56B          ,$82.91M          ,true
quis augue           ,45   ,n/a             ,$173.85M        ,$883.27M        ,$441.26M        ,$37.92B         ,$12.16M         ,$2.43B          ,$94.21M         ,$710.31M        ,$18.56M          ,false
quis                 ,11   ,$33.71B         ,$37.4B          ,$58.53M         ,$54.37B         ,$615.54M        ,$5.26B          ,$13.37M         ,n/a             ,$136.26M        ,$959.07M         ,true
nam                  ,100  ,$17.78B         ,$975.82M        ,$5.22B          ,$6.96B          ,$463.59M        ,$9.21B          ,n/a             ,$10.31M         ,$220.34M        ,                 ,false
justo                ,51   ,$52.1M          ,n/a             ,$254.84M        ,$4.84B          ,$347.43M        ,$3.16B          ,$296.89M        ,$150.94M        ,$1.62B          ,$20.84M          ,true
lectus               ,86   ,$399.95M        ,n/a             ,$3.33B          ,$29.39M         ,$1.35B          ,n/a             ,$11.18B         ,$2.32B          ,$793.18M        ,$6.35B           ,false
vel                  ,94   ,$56.32M         ,$1.16B          ,$54.9M          ,$480.47M        ,$26.98B         ,$1.15B          ,n/a             ,$8.39B          ,$2.54B          ,$50.09B          ,true
ultrices             ,84   ,$126.08M        ,n/a             ,$3.06B          ,$494.01M        ,$270.26M        ,n/a             ,$13.02M         ,$340.42M        ,n/a             ,$237.43M         ,false
amet                 ,31   ,$306.18B        ,$8.05B          ,$1.58B          ,$9.12M          ,$57.51M         ,$871.78M        ,$2.61B          ,$25.09B         ,$283.59M        ,                 ,true
faucibus orci        ,57   ,$364.09M        ,$4.12B          ,n/a             ,$154.12M        ,$37M            ,$6.22B          ,n/a             ,$4.16B          ,$52.36M         ,$2.67B           ,false
elementum            ,19   ,n/a             ,$12.81M         ,$1.35B          ,n/a             ,$4.54B          ,$84.35B         ,$529.59M        ,$115.54M        ,$20.84M         ,$12.93B          ,true
pellentesque         ,19   ,$33.71M         ,$40.78M         ,n/a             ,$299.12M        ,$458.45M        ,$301.42M        ,$9.71B          ,n/a             ,$2.61B          ,$468.65M         ,true
dui vel              ,49   ,$14.46B         ,$21.8M          ,$14.36M         ,$323.56M        ,$1.45B          ,$1.9B           ,$69.29M         ,$8.23B          ,$630.7M         ,$22.07B          ,true
vulputate            ,56   ,$24.17B         ,$2.3B           ,n/a             ,$1.14B          ,$51.15M         ,$14.27B         ,$2.03B          ,$378.97M        ,$1.96B          ,n/a              ,false
sed                  ,68   ,$379.12M        ,$166.26M        ,$1.56B          ,$672.9M         ,n/a             ,$5.79B          ,$90.32M         ,$4.38B          ,$569.62M        ,$63.6M           ,false
erat                 ,7    ,$104.92M        ,$560.06M        ,$592.24M        ,$542.39M        ,n/a             ,$84.71M         ,n/a             ,n/a             ,$32.63M         ,$844.88M         ,true
lorem                ,11   ,$2.49B          ,n/a             ,n/a             ,$52.67M         ,$9.16B          ,n/a             ,$710.31M        ,$3.62B          ,$914.42M        ,$7.05M           ,false
libero convallis     ,87   ,$2.32M          ,$1.43B          ,$8.43B          ,$311.29M        ,$28.99M         ,$1.05B          ,$1.03B          ,n/a             ,$2.14B          ,$2.32B           ,false
sit                  ,72   ,$54.41B         ,$14.24B         ,$54.36M         ,n/a             ,n/a             ,$10.5B          ,$3.67B          ,$279.5M         ,$78.45M         ,$13.87B          ,true
nullam               ,56   ,$890M           ,$2.15B          ,n/a             ,n/a             ,n/a             ,$21.32B         ,$185.4M         ,$11.02B         ,$255.6M         ,$1.6B            ,false
ipsum                ,43   ,$114.27M        ,n/a             ,$1.41B          ,$1.35B          ,$547.07M        ,$6.59B          ,$2.17B          ,n/a             ,$101.19M        ,                 ,true
pellentesque         ,49   ,$1.53B          ,$446.68M        ,$5.4M           ,n/a             ,$71.74M         ,$6.1B           ,$140.84M        ,$1.23B          ,n/a             ,$568.21M         ,true
primis in            ,30   ,$797.33M        ,$5.97B          ,$768.07M        ,$201.19M        ,$10.97B         ,n/a             ,$532.95M        ,$44.44M         ,n/a             ,$708.76M         ,true
ipsum integer        ,42   ,$12.73B         ,$4.68B          ,$452.92M        ,$386.6M         ,$4.72B          ,$1.14B          ,n/a             ,$158.07M        ,$323.86M        ,$1.83B           ,false
vestibulum aliquet   ,66   ,n/a             ,$136.26M        ,$284.89M        ,$524.24M        ,$3B             ,$200.59M        ,$1.6B           ,$49.95B         ,$192.38M        ,$518.09M         ,false
sed                  ,40   ,$4.21B          ,$459.39M        ,$213.58M        ,$888.93M        ,$4.82B          ,$203.67M        ,$2.69B          ,$607.83M        ,n/a             ,$3.16B           ,false
vehicula             ,1    ,$469.81M        ,$638.92M        ,$443.51M        ,$7.17B          ,$3.93B          ,$165.5M         ,$2.72B          ,$43.29B         ,$5.26B          ,$268.02M         ,true
